epoch,train_loss,train_acc,val_loss,val_acc
1,1.335861836552925,63.256,0.8423476075824303,74.77
2,0.7138654020283838,78.354,0.762220096361788,77.73
3,0.5457432994147395,82.92,0.7579630262489561,78.42
4,0.4562661957252971,85.412,0.7423662169824673,78.75
5,0.3951305570581075,87.25,0.7748432529123523,78.14
6,0.3406754034330778,88.938,0.8036051339740995,78.67
7,0.2977727361004371,90.37,0.8368284430684922,78.12
8,0.26975107212048355,91.12,0.8082346354104295,78.71
9,0.23188234595081691,92.508,0.856485202342649,78.07
10,0.20485051581278788,93.414,0.8390957958336118,78.63
11,0.1842051631463763,93.914,0.8008180509639692,79.97
12,0.15582295006041028,94.952,0.8872016977660263,78.46
13,0.14461895163216248,95.238,0.8156337809713581,79.94
14,0.11569361521116912,96.33,0.825676013397265,80.67
15,0.09420008622014614,97.088,0.8166052253940438,80.75
16,0.08211786209908135,97.438,0.8071466012846066,81.33
17,0.06592757130503807,98.022,0.8456111376798605,80.43
18,0.052825173405963745,98.466,0.8415914238253727,81.16
19,0.045484853833389786,98.72,0.822277588934838,81.94
20,0.0394654369643887,98.896,0.7816838863529737,82.21
21,0.02635390642206268,99.35,0.7848781200149392,82.63
22,0.022493678923991636,99.484,0.7602737127225611,83.03
23,0.017908533091259088,99.576,0.7517111988007268,83.14
24,0.014109222310692872,99.736,0.736139608712136,83.83
25,0.011478584561654178,99.798,0.7283576462842241,83.82
26,0.010043762272338162,99.818,0.7214915669417079,83.8
27,0.009103843621919147,99.826,0.720889162036437,83.81
28,0.008188582007604106,99.874,0.7164313661146767,83.95
29,0.006988822600132573,99.922,0.7136421339421333,83.99
30,0.006745686205258817,99.908,0.7117722275890882,83.91
