epoch,train_loss,train_acc,val_loss,val_acc
1,0.3332629375674231,88.986,0.2230962088590936,92.67
2,0.17556214688912683,94.016,0.16895023120355002,94.42
3,0.14382370955803814,95.07,0.16969259406286705,94.29
4,0.12609111870188847,95.652,0.16999853100580506,94.51
5,0.11747241665220931,95.998,0.1959156083249593,93.84
6,0.10642877185378996,96.288,0.20624739855905122,93.75
7,0.09624333544145994,96.714,0.2261209401148784,93.41
8,0.09224888606859213,96.738,0.19038363560279714,94.07
9,0.08362262177964687,97.134,0.21355280478166627,93.85
10,0.08200764175042358,97.09,0.201077572529829,93.53
11,0.06512039707844977,97.732,0.17676530561492412,94.57
12,0.057995559433308405,98.018,0.2054939646321007,93.92
13,0.05385863380339902,98.166,0.18667849728578254,94.29
14,0.045864944424851777,98.436,0.1897096571665776,94.23
15,0.04246833749756198,98.518,0.20773418336705882,94.01
16,0.03430592747228911,98.828,0.17248534029821241,95.24
17,0.02719763379610713,99.062,0.1691994614710536,95.17
18,0.02516742387567373,99.19,0.17948487716950948,94.7
19,0.019293298472619385,99.414,0.15885265442377688,95.64
20,0.014902748636748937,99.54,0.1607518675206583,95.45
21,0.011114169193385289,99.674,0.16140647897426086,95.49
22,0.008591364569547575,99.774,0.14398991785754886,96.02
23,0.006259240817440593,99.832,0.14901641140915925,95.95
24,0.005934483681880164,99.87,0.14940196676533432,95.85
25,0.0038978744267999335,99.932,0.1404992386910923,96.13
26,0.0037298373418146757,99.93,0.1416224540694605,96.06
27,0.0031925676148765914,99.934,0.13876794670012932,96.24
28,0.0030052322712566114,99.954,0.13715266115680524,96.19
29,0.0025718673457638085,99.962,0.1375268533637252,96.09
30,0.002670689874291158,99.964,0.13742231493933668,96.16
